,DP,Proportion,CCG
245,0,0.0337837837838,37
246,0,0.0333951762523,37
247,0,0.04375,42
248,0,0.0127388535032,37
249,0,0.111111111111,37
250,0,0.0389294403893,37
251,0,0.0115740740741,37
252,0,0.0377358490566,37
253,0,0.0196304849885,37
254,0,0.010582010582,37
255,0,0.0220440881764,37
256,0,0.0180505415162,37
257,0,0.0253164556962,42
258,0,0.0119840213049,37
259,0,0.0190930787589,37
260,0,0.0380952380952,37
261,0,0.0266789328427,37
262,0,0.0216110019646,37
263,0,0.00277008310249,37
264,0,0.0169082125604,37
265,0,0.00890207715134,37
266,0,0.0238095238095,37
267,0,0.0,37
268,0,0.0,37
269,0,0.017723880597,37
270,0,0.021650879567,37
271,0,0.010989010989,37
272,0,0.0165745856354,37
273,0,0.0802919708029,37
274,0,0.0325,37
275,0,0.00180831826401,37
276,0,0.00968992248062,37
277,0,0.00821917808219,37
278,0,0.0143884892086,42
279,0,0.046683046683,37
280,0,0.0051993067591,42
281,0,0.00355871886121,42
282,0,0.00684150513113,42
283,0,0.0244698205546,42
284,0,0.0436241610738,42
285,0,0.00306278713629,42
286,0,0.03125,42
287,0,0.0970625798212,42
288,0,0.0280373831776,42
289,0,0.0153846153846,42
290,0,0.0112359550562,42
291,0,0.0440677966102,42
292,0,0.00968523002421,42
293,0,0.00155520995334,42
294,0,0.0215053763441,42
295,0,0.0152091254753,42
296,0,0.0106382978723,42
297,0,0.0199004975124,42
298,0,0.00275482093664,42
299,0,0.0193370165746,42
300,0,0.0162866449511,42
301,0,0.02,42
302,0,0.0114942528736,42
303,0,0.0102564102564,42
304,0,0.003125,39
305,0,0.0257037943696,39
306,0,0.0100446428571,39
307,0,0.0309917355372,39
308,0,0.00808625336927,39
309,0,0.00746268656716,39
310,0,0.0108108108108,39
311,0,0.0251396648045,39
312,0,0.0241379310345,39
313,0,0.0285714285714,39
314,0,0.0325581395349,39
315,0,0.0289156626506,39
316,0,0.00824175824176,39
317,0,0.0,39
318,0,0.0440528634361,39
319,0,0.0280612244898,39
320,0,0.0059880239521,39
321,0,0.0149625935162,39
322,0,0.0323886639676,39
323,0,0.0384615384615,39
324,0,0.030534351145,39
325,0,0.030701754386,39
326,0,0.0762711864407,39
327,0,0.0232558139535,39
328,0,0.0143266475645,39
329,0,0.039603960396,39
330,0,0.077106518283,40
331,0,0.0457516339869,40
332,0,0.0280612244898,40
333,0,0.0380952380952,40
334,0,0.065625,40
335,0,0.0535405872193,40
336,0,0.0839160839161,40
337,0,0.0434782608696,40
338,0,0.0503597122302,40
339,0,0.0262467191601,40
340,0,0.0714285714286,40
341,0,0.0708860759494,40
